T cell,Dendritic cell,Monocyte,B cell,Macrophage
TRAC,HLA-DRA,FCN1,CD74,CTSB
CD3D,CD74,CTSS,HLA-DRA,LAPTM5
TRBC1,HLA-DPA1,TYROBP,HLA-DRB1,C1QA
LTB,HLA-DPB1,LYZ,CD52,A2M
CD52,HLA-DRB1,PSAP,MS4A1,CD74
TRBC2,CST3,S100A9,HLA-DPB1,RNASET2
PABPC1,HLA-DQA1,FTL,CD79A,HLA-DRB1
RP11-543P15.1,HLA-DQB1,CST3,HLA-DPA1,TMSB4X
CALM1,TMSB4X,S100A8,CXCR4,TREM2
IL2RG,TMSB10,AIF1,HLA-DQB1,C1QC
SH3BGRL3,AIF1,FCER1G,GPR183,CX3CR1
CXCR4,GPR183,S100A4,LTB,C3
GMFG,FCER1G,LST1,LAPTM5,AIF1
IL32,LYZ,S100A11,IGHM,TYROBP
CREM,SRGN,CD74,CD37,SPP1
EEF1D,RGS1,HLA-DRA,VPREB3,HLA-DPA1
LDHB,SAT1,S100A6,HLA-DQA1,C1QB
SNHG5,TYROBP,ARHGDIB,CD69,IFNGR1
HLA-C,HLA-DMA,MNDA,CD83,CD14
ARHGDIB,RGS2,OAZ1,BIRC3,CCL3
GPR183,ACTB,FTH1,EZR,ALOX5AP
RPL22,SH3BGRL3,LAPTM5,BTG1,TMSB4XP4
HINT1,HLA-DRB6,CSTA,HLA-C,CSF1R
PCED1B-AS1,LST1,S100A12,ARHGDIB,FCER1G
CD69,CPVL,SH3BGRL3,CYTIP,GPR34
EVL,FTH1,CD14,HLA-E,FTL
CYTIP,HLA-DQA2,HLA-C,RPL18,GPX1
BTF3,ARHGDIB,GMFG,PABPC1,FCGR3A
BTG1,HLA-DMB,SRGN,IGKC,B2M
IFITM1,HLA-DRB5,HLA-DRB1,OAZ1,CCL4L2
CD2,MS4A6A,SERPINA1,RPS21,CCL3L3
SELL,ARPC3,ITGB2,CCR7,HLA-DRA
CD3E,CD83,ARPC1B,IRF8,RGS10
CD7,PFN1,ARPC2,PLAC8,CCL4
RPL4,CFL1,MS4A6A,EEF1D,NPC2
LEPROTL1,S100A4,ARPC3,RPS27,SRGN
LIMD2,BCL2A1,COTL1,FAU,OLFML3
RAC2,C1orf162,ACTB,CD53,PLD4
GIMAP7,LAPTM5,TSPO,ARPC2,HLA-DMB
GAS5,FCER1A,HCK,IGLC2,VSIG4
PSME1,RPS11,CARD16,TAGLN2,HLA-E
CCR7,CXCL8,NCF2,RPL18A,C3AR1
HCST,ARPC2,HLA-DRB6,YPEL5,CD53
ARPC2,RPS23,FGL2,CD79B,HLA-DPB1
IL7R,RPS16,CPVL,EEF1B2,SORL1
HLA-E,FGL2,PFN1,BANK1,CH25H
SARAF,CTSS,SERF2,RPL37,SAT1
YPEL5,S100A11,PABPC1,RGS1,OLR1
PSMB9,LGALS2,C1orf162,PFDN5,SELPLG
TCF7,GMFG,LSP1,HLA-A,RGS1
CD37,ATP5E,LCP1,HLA-DMA,LY86
ITM2A,LCP1,GRN,RPL35,CCL2
LAPTM5,NAPSB,AP1S2,RPL39,SLCO2B1
CCL5,GPX1,TMSB4X,LY9,APOC1
BIRC3,FTL,HLA-DPA1,SYNGR2,TMIGD3
RGS1,IL1B,FOLR3,CREM,P2RY13
ISG15,B2M,ATP5E,RPS28,FCGR1A
PPIA,RNASE6,ANXA1,RPS2,HLA-DMA
RHOH,LSP1,CORO1A,RHOH,BIN1
DDX5,JAML,S100A10,RP11-543P15.1,FPR1
HLA-A,CD1C,LGALS1,DDX5,HSPA1B
ATP5L,RPS13,RP11-1143G9.4,TCL1A,C10orf54
PSME2,CD53,SELL,UCP2,BHLHE41
CORO1A,CXCR4,TMSB10,IL2RG,CYBA
NOSIP,PABPC1,C10orf54,RPL10A,ASAH1
FYB,NPC2,EVI2B,LIMD2,RAC1
SNHG8,UBA52,MYL6,TSC22D3,HTRA1
RARRES3,VAMP8,EIF1,IGLC3,ZFP36L1
LCK,PLEK,LIMD2,LCP1,S100A11
CD53,PSAP,HLA-E,KLF6,CAPZB
FXYD5,MYL12A,GPX1,ISG20,FOLR2
TAGLN2,ARPC1B,CD53,FCMR,ITGB2
LSP1,COTL1,FPR1,RPS13,DUSP1
RP11-761N21.2,LGALS1,GAPDH,LSP1,LPAR6
CD27,RPS24,CD37,RAC2,PTAFR
RPL9P9,RPL15,HCST,RPS25,APMAP
EEF1B2,RPL27A,CFP,SH3BGRL3,ARHGDIB
RPL13P12,RPS29,HLA-DPB1,SPIB,GPR183
YWHAB,RPL18A,HLA-B,RPL27,PPT1
ABRACL,PLAUR,ALDOA,RPS11,HLA-DRB6
TOMM7,RPL37,ARRB2,RPL28,APOE
ICOS,RPL26,YWHAB,B2M,HSPA1A
RGS10,H3F3B,MPEG1,JCHAIN,CTSC
PLAC8,RPL19,TALDO1,CORO1A,LST1
PSMA7,HLA-B,EMP3,RPL12,SLC2A5
PFDN5,CREM,LGALS2,RPS5,LILRB4
ACAP1,HLA-C,RGS2,PSMB9,HAVCR2
MYL12A,CCL3,MYL12A,SELL,MEF2C
PTPRC,RGS10,RHOA,RUBCNL,LGMN
HNRNPA1,CD86,RPS13,PCED1B-AS1,IRF8
01.Sep,CD52,CSF3R,RPS8,RNASE6
TRAF3IP3,FAU,PILRA,PTMA,CXCL16
RP11-466H18.1,CLEC10A,PYCARD,RPS23,P2RY12
TSC22D3,SERF2,CFL1,ARPC3,CAPG
RPS3AP26,RPLP2,GIMAP7,NAPSB,NINJ1
UCP2,PTMA,HCLS1,RPL41,EGR2
RPL36A,CCL3L3,ASAH1,ACAP1,CD83
RPL12,SAMHD1,CD52,UBA52,ARPC3
COX4I1,RPL32,TKT,RPL23A,CSF2RA
PFN1,OAZ1,CYBB,RPS9,IGSF6
SRSF2,CKLF,FGR,TRBC2,SAMSN1
RPL36AL,RPL27,CLEC12A,HLA-DRB6,CREG1
DNAJA1,S100A10,PTPRC,TMSB4X,CYFIP1
ARPC1B,SGK1,DAZAP2,RPS19,ITM2B
LCP1,TAGLN2,CAP1,HERPUD1,HLA-C
HSPA8,ITGB2,PFDN5,RACK1,GRN
SNRPD2,PSME2,FXYD5,CACYBP,HAMP
ZNF331,C15orf48,CD48,MYL12A,ACTB
RPL18AP3,TMSB4XP8,VCAN,HLA-DRB5,HLA-B
CACYBP,RPL11,UBA52,RPS18,HCST
HSPE1,HCLS1,RPL26,CMTM6,CTSS
ARL4C,C1QB,CLIC1,RP5-887A10.1,RN7SK
AIF1,ID2,TYMP,RPSA,PSAP
GPSM3,G0S2,JAML,GPSM3,FCGRT
ANXA1,CCL4L2,ITM2B,CD48,ADAP2
OCIAD2,HSPA1A,RNF130,RPL6,ST6GAL1
CD96,RPL23,TXNIP,RPL36A,FAM105A
ISG20,PPT1,NPC2,GMFG,DDX5
NPM1,EIF1,SAT1,REL,COTL1
CLEC2D,IRF8,GIMAP4,HLA-B,RP11-552D4.1
RPL3P4,LY86,RPS9,AL928768.3,MS4A7
ZFAS1,RPL41,PLBD1,HLA-DQA2,FSCN1
SRGN,C1orf54,ANXA2,HLA-DMB,LAT2
CD247,ANXA1,CFD,RPL22,KCTD12
AC007969.5,RPL10,ARPC5,HSPH1,ARRB2
PGK1,RPL28,GLRX,RPL4,IL1B
TMA7,HCST,CASP1,PSME1,CYBB
CHI3L2,RPS15,CTSB,RPL36AL,CD86
TRAT1,CARD16,CALM2,RNASET2,CNPY3
SPOCK2,RPS3A,VIM,RPS20,FOS
GZMA,RNASET2,BIN2,SON,BTG2
06.Sep,CYTIP,CYBA,COX4I1,LIPA
GTF3A,CD48,LILRB2,GZMB,ATP6V0B
CD48,CTSB,LINC01272,HINT1,SOCS6
KLRB1,HLA-A,IFITM2,RPS7,CPVL
APRT,C1QA,RNASET2,COMMD6,RP11-480C22.1
RP11-234A1.1,RPS25,GPSM3,ALOX5AP,LPCAT2
RPL10A,MYL6,STXBP2,RPL21,ARPC1B
CLEC2B,RPL39,PPT1,RPLP0,SCAMP2
SNHG6,NFKBIA,TNFSF13B,RPS10,ADAM28
TUBA4A,PFDN5,AGTRAP,NFKBID,TBXAS1
SLC2A3,BID,PSME1,RPL26,GAL3ST4
TNFAIP3,RPL30,TMSB4XP4,PFN1,LPAR5
EIF3K,RPS19,LY86,SMIM14,CD37
GYPC,RPL35A,RAC2,FCRLA,MKNK1
GIMAP4,ZFP36,RGS19,RGS2,TMEM119
FCMR,RPS15A,SAMHD1,IGHD,NAPSB
CD8B,RPS20,POU2F2,MZB1,HCLS1
RPL10AP6,RPL13,MTND1P23,CYBA,MARCKS
CIB1,CAP1,GSTP1,GAS5,FCGR1B
JUNB,ALOX5AP,RPL23,CD19,CD84
CD3G,CORO1A,FYB,RPS14,TUBA1B
NFKBIA,LITAF,DUSP6,ZFAS1,CSF3R
S100A4,UCP2,UCP2,RPL18AP3,RNF130
KLF6,CLIC1,RPL28,RPL10,EVI2A
SIRPG,ARL4C,GLIPR1,RPL27A,IER2
SOD1,TMSB4XP4,CD36,PPIA,ADORA3
TMSB10,TIMP1,RPL39,YWHAZ,SGK1
RPS15A,GLIPR1,RPS16,RPS16,DHRS9
UXT,PSMB9,FCGRT,NR4A2,PLXDC2
TAGAP,NR4A2,CAPG,RPL13A,LAIR1
STK17B,SOD2,ZFP36L2,TRAC,OAZ1
ARHGAP15,CCL4,ZYX,BTF3,HPGDS
ANAPC16,PSME1,MYL12B,SNHG5,EVL
09.Sep,PLAC8,RPS11,ARPC1B,IER3
IL16,FAM26F,GCA,IGHA1,MAF
GSTK1,BIRC3,RPS28,PMAIP1,FYB
CNN2,CMTM6,RNASE6,RP11-761N21.2,ARL6IP5
RPL13AP25,RPL23A,RPS24,HCLS1,VTRNA1-1
RP11-864N7.2,FCGR2B,NCF1C,TMEM156,TNF
GPR171,MNDA,IGSF6,POU2F2,PCED1B-AS1
CAPZB,FXYD5,HLA-DMB,GNG7,DHRS7
DGKA,CLEC2B,PRR13,CLECL1,HLA-A
COMMD6,CSTA,TNFRSF1B,WDFY4,UCP2
HCLS1,RPLP1,HLA-A,PSMB8,GATM
STAT1,RPS14,HLA-F,SRGN,CD68
ZFP36,RILPL2,RHOG,LY86,FAM49B
AAK1,HCK,RPL8,RPS15A,EGR3
NR4A2,PTPRC,RPL27,RPS4X,PYCARD
CD8A,GSTP1,VAMP8,FXYD5,TM6SF1
PSMB8,MPEG1,PTPN6,RPS27A,SLC1A3
NKG7,CYBA,HLA-DMA,RPL7A,SIGLEC8
C9orf16,RPS18,CTSD,IL16,QKI
PPP1R2,EEF1B2,FKBP1A,LINC00926,ARPC2
SON,FAM49B,COX4I1,ZFAND2A,FCGR2A
SIT1,PPIA,NAPSB,EVL,SON
BIN2,SUB1,EVI2A,RNASE6,DNASE2
ENO1,ATP5L,CPPED1,06.Sep,PILRA
CDKN1B,RPL22,PRELID1,CCL5,TMBIM6
SRSF7,GRN,NUP214,IGHG4,SUSD3
RPS21,ARPC5,PSMB9,CALM1,GGTA1P
CD79A,SYNGR2,FCGR3A,RPS17,RPS19
DENND2D,UBC,SH3BGRL,CFL1,SYNGR2
HSPD1,IFITM2,LRRC25,PIM2,GPN3
RPS26,TPM3,PSMB8,MEF2C,TMBIM4
PIK3IP1,RPS17,SPI1,IGHG1,ADGRG1
LINC00861,RPS21,CAPZB,01.Sep,ENTPD1
RPS2P46,IFNGR1,PTMA,HSPD1,HCK
SRP14,SLC25A5,PSMA7,TAGAP,RPL27A
CHCHD2,RPL9,NAGK,EVI2B,CST3