Tfh,CD8_NaiveLike,CD8_EffectorMemory,CD8_EarlyActiv,Th1,CD4_NaiveLike,CD8_Tpex,CD8_Tex,Treg
TOX2,CCR7,GZMA,GZMK,CD40LG,CCR7,LAG3,LAG3,TNFRSF4
MAF,IL7R,GZMK,FOS,IL7R,SELL,XCL1,PRF1,TNFRSF1B
TBC1D4,SELL,NKG7,CD69,KLRB1,CD40LG,CRTAM,CD8A,TNFRSF18
TNFRSF4,TCF7,CD8A,ZFP36,CD4,IL7R,IFNG,HAVCR2,IL2RA
CD4,TXK,CD8B,FOSB,RORA,TCF7,CCL4,GZMB,CTLA4
UCP2,S1PR1,CTSW,CCL5,TNFRSF25,LEF1,PDCD1,NKG7,TIGIT
CORO1B,LEF1,GZMB,GZMM,ANXA1,GPR183,DUSP4,CD8B,ICOS
TIGIT,SATB1,CCL5,DUSP2,LTB,KLRB1,CD8A,CTSD,GPX1
BATF,,CST7,LYAR,GPR183,LTB,ZEB2,KLRD1,MAF
NR3C1,,PRF1,SAMD3,CDKN1A,MAL,NR4A2,ID2,FOXP3
ITM2A,,ABI3,CXCR4,LMNA,PASK,SLA,CST7,BATF
TNFRSF18,,FASLG,CTSW,S100A11,AQP3,NKG7,PDCD1,IKZF4
LIMS1,,ITM2C,CD8A,S100A4,TRAT1,TIGIT,TNFRSF9,IKZF2
ICA1,,C12orf75,ANXA1,PLIN2,,CTSW,TIGIT,SAT1
CTSB,,EOMES,KLRG1,,,TNFRSF9,CTSW,TBC1D4
SH2D1A,,CHST12,CD8B,,,TOX,CCL4,DUSP4
CTLA4,,CCR5,AOAH,,,LYST,CD63,DNPH1
MAGEH1,,HCST,TAGAP,,,TNFSF4,CCL3,PHLDA1
SESN3,,AOAH,KLRD1,,,CCL3,IFNG,SNX9
ICOS,,HOPX,IER2,,,GZMB,CXCR6,CD4
NMB,,SLAMF7,GZMA,,,RAB27A,FASLG,TYMP
CXCL13,,CXCR3,CST7,,,PRF1,RBPJ,NAMPT
CD200,,OASL,ITM2C,,,CD70,CHST12,SYNGR2
BTLA,,F2R,PARP8,,,PLSCR1,FAM3C,PBXIP1
PTPN13,,CXCR6,BTG2,,,CXCL13,CSF1,GLRX